alpha	beta	eta	r
3.384645283	16.53128798	0.270304033	0.073848953
11.54186942	206.6780979	13.4761135	1.733580484
0.021173437	0.027357704	1282.582548	25.2239145
0.098530459	0.007904825	0.020523918	1.665517622
0.427413178	1.067176308	0.005371442	4.120305598
5.922857832	578.2760075	0.000989179	163.8174913
0.006761661	0.003187762	142.3196594	25.24205175
0.078223409	7.82412E-05	133.6950747	8.394196304
0.015593485	2.11646E-05	2108.750518	26.04394298
0.012904659	1.43324E-05	487.2214812	42.35627642
0.008469927	0.000702138	229.0336166	8.012104272
0.226236608	0.017294152	0.023336954	2.39516732
34.94984397	711.9186032	0.000214801	0.62054723
3.080722128	570.2448543	0.00367974	295.2970937
0.973531707	1.649787424	0.002108811	2.295392359
0.001114658	0.129568467	15.57654296	239.7938448
0.00920472	0.212184651	427.0283814	11.98675575
8.414061081	17.25786183	0.878915046	0.069118671
0.016587419	4.53E-006	6.313761527	4.71396722
75.61660617	1552.016922	0.003251846	30.07376596
0.033709662	0.074264314	393.7806153	23.79556388
0.012249492	7.82E-006	34.3286553	40.86392803
1.883748074	1.685925365	0.988389311	0.076336804
4.072415574	647.771631	0.001112965	125.7616294
3.178175789	0.004711757	0.168021306	2.713519715
0.061767674	0.000227001	179.669623	125.1487354
14.25146803	59.27990599	0.000985065	2.36557368
0.054303595	0.126646734	0.455994168	0.01695365
0.194728498	0.094406807	1.186588704	0.020727097
1.247347248	0.001760422	0.058443279	4.652232647
0.007167903	0.000129189	429.5494981	126.0716421
81.49940798	653.1378494	3.96799318	0.948813694
0.006190485	0.082868368	790.7759254	3.724753397
0.194728498	0.094406807	1.186588704	0.020727097
17.4931216	1359.883935	0.000941799	1.957048978
0.044545278	0.102630796	0.470904922	0.014670063
0.224663986	0.499785668	0.180795702	0.006148128
28.41693294	345.031888	2.733620244	1.016735717
1.14803164	4.132244586	0.003270042	1.000809397
1.14803164	4.132244586	0.003270042	1.000809397
0.003123183	0.010215375	0.440579126	0.013916924
0.009180829	2.79E-006	36.95323105	59.0282718
1.006367429	4.339732182	0.002119368	0.473462355
0.88006586	0.000767714	0.164260403	4.701590461
0.008469927	0.000702138	229.0336166	8.012104272
0.003594646	0.003873929	299.5510824	13.0071839
0.628910452	140.8589825	0.000322254	1.864750915
0.927047201	134.9567546	0.000197682	1.530108268
1.1624067	0.000704526	0.379892786	11.77058717
0.000901762	0.006293707	0.647492405	0.028308887
2.919107441	0.007215323	0.118243892	35.58005166
1.478086363	6.047244427	0.001607955	0.547688955
22.28588731	43.94502181	1.251264229	0.115812915
0.01014294	3.160494656	12.87148229	77.13679375
